spawn_point 0:Transform(Location(x=-6.446170, y=-79.055023, z=0.275307), Rotation(pitch=0.000000, yaw=92.004189, roll=0.000000))
spawn_point 1:Transform(Location(x=65.516594, y=7.808423, z=0.275307), Rotation(pitch=0.000000, yaw=0.855823, roll=0.000000))
spawn_point 2:Transform(Location(x=76.468864, y=4.308813, z=0.275307), Rotation(pitch=0.000000, yaw=0.855823, roll=0.000000))
spawn_point 3:Transform(Location(x=-2.419357, y=204.005676, z=0.275307), Rotation(pitch=0.000000, yaw=-0.142975, roll=0.000000))
spawn_point 4:Transform(Location(x=5.989376, y=207.505676, z=0.275307), Rotation(pitch=0.000000, yaw=-0.142975, roll=0.000000))
spawn_point 5:Transform(Location(x=-20.033100, y=204.005676, z=0.275307), Rotation(pitch=0.000000, yaw=-0.142975, roll=0.000000))
spawn_point 6:Transform(Location(x=-11.424367, y=207.505676, z=0.275307), Rotation(pitch=0.000000, yaw=-0.142975, roll=0.000000))
spawn_point 7:Transform(Location(x=-1.848311, y=-87.232613, z=0.275307), Rotation(pitch=0.000000, yaw=92.004189, roll=0.000000))
spawn_point 8:Transform(Location(x=-55.049702, y=0.545833, z=0.275307), Rotation(pitch=0.000000, yaw=1.666941, roll=0.000000))
spawn_point 9:Transform(Location(x=-117.493454, y=-3.221493, z=0.275307), Rotation(pitch=0.000000, yaw=-179.705399, roll=0.000000))
spawn_point 10:Transform(Location(x=-77.887169, y=23.344204, z=0.350000), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 11:Transform(Location(x=-74.387177, y=25.734657, z=0.350000), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 12:Transform(Location(x=-77.887169, y=33.206928, z=0.648878), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 13:Transform(Location(x=-74.387177, y=41.997383, z=0.948878), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 14:Transform(Location(x=-77.887169, y=52.041164, z=1.007297), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 15:Transform(Location(x=-74.387177, y=59.431622, z=1.207297), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 16:Transform(Location(x=-77.687164, y=68.358574, z=1.302074), Rotation(pitch=-0.348271, yaw=-90.156235, roll=-0.000000))
spawn_point 17:Transform(Location(x=149.592041, y=5.371150, z=0.275307), Rotation(pitch=0.000000, yaw=0.855804, roll=0.000000))
